repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
9,2,2,20|20|20|8|10|6|15|16|13|15|12|14|16|13|5|3|8|12|18,0,32,55,TRUE,0.417519477653858,0.456534409256231,0.127300800386213,155.139729995315,125.49691041708
9,2,3,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,155.660862856723,125.49691041708
9,2,4,19|18|20|6|13|8|6|18|13|10|12|8|18|9|4|4|7|9|11,0,44,73,TRUE,0.440846383202577,0.128360115920287,0.311024965134921,156.123271480502,125.49691041708
9,2,5,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,156.70368316834,125.49691041708
9,2,6,19|19|20|10|11|4|10|17|17|17|12|12|18|11|10|13|8|8|2,2,45,65,TRUE,0.211257100184079,0.140658823037734,0.333060466345257,159.521390562977,125.49691041708
9,2,7,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,160.920752341452,125.49691041708
9,2,8,20|18|20|5|11|4|8|7|4|17|18|4|16|15|5|19|4|20|5,0,69,73,TRUE,0.444901679867626,0.300524782476761,0.280646068107793,163.671377687547,125.49691041708
9,2,9,20|13|20|18|4|2|13|11|16|12|3|16|15|14|13|6|20|18|8,0,59,73,TRUE,0.150235359639643,0.208847932775365,0.322078406354133,165.17951493208,125.49691041708
9,2,10,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,166.467747170386,125.49691041708
8,3,1,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,155.529026782835,84.5789886673292
8,3,2,20|7|15|7|9|2|8|16|17|7|15|4|20|8|12|10|19|15|13,0,56,63,TRUE,0.251095755508855,0.318323557605259,0.270524516600657,156.511501923156,84.5789886673292
8,3,3,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,156.602524269786,84.5789886673292
8,3,4,19|2|16|3|18|3|8|17|18|18|16|11|6|4|12|10|11|14|19,2,80,68,FALSE,0.19924016757475,0.292562898285569,0.312356367527437,157.147100834295,84.5789886673292
8,3,5,19|3|20|11|9|3|14|13|15|9|14|4|9|3|15|3|10|17|12,2,67,69,FALSE,0.144852745795997,0.275722266041895,0.383612841370517,159.507229286823,84.5789886673292
8,3,6,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,160.334528677958,84.5789886673292
8,3,7,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,160.403700668137,84.5789886673292
8,3,8,19|13|20|9|16|6|14|6|19|7|10|6|5|17|12|18|13|13|17,0,59,71,TRUE,0.256714043309452,0.336390039567295,0.348426675035898,162.020796466608,84.5789886673292
8,3,9,6|18|5|6|20|2|13|19|15|5|8|17|11|10|19|4|11|20|10,2,48,61,TRUE,0.271819857113028,0.355424977748547,0.452718796080444,162.307824746416,84.5789886673292
8,3,10,19|6|20|11|9|4|11|15|18|13|13|12|18|16|15|2|7|15|18,2,57,62,TRUE,0.29696201038699,0.470988260740511,0.272621575685833,162.910512808422,84.5789886673292
2,3,1,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,157.920327278868,87.0581088503202
2,3,2,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,160.943185529594,87.0581088503202
2,3,3,14|4|2|20|8|5|9|14|17|2|13|4|3|20|13|15|3|8|2,0,19,23,TRUE,0.439526298817677,0.162404173360958,0.470380096110659,161.423045713993,87.0581088503202
2,3,4,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,164.778923332975,87.0581088503202
2,3,5,6|18|5|6|20|2|13|19|15|5|8|17|11|10|19|4|11|20|10,2,48,61,TRUE,0.271819857113028,0.355424977748547,0.452718796080444,165.1957600823,87.0581088503202
2,3,6,19|20|16|5|9|6|6|7|4|12|6|5|15|9|10|5|14|20|17,0,64,74,TRUE,0.337705492865118,0.423921273091373,0.364438292429008,166.686435827873,87.0581088503202
